provider,sourceType,sourceCode,sourceDescription,canonicalConcept,conceptGroup,signalClass,severity,direction,requiresReview,canContributeToDecline,dedupeKey,narrativeKey,notes,status,displayLabel
id_analytics,reason_code,"498","Address associated with confirmed fraud",fraud_risky,fraud,fraud,high,negative,true,true,"498",,,active,"Address linked to confirmed fraud"
id_analytics,reason_code,"499","Unusual number of SSNs associated with this identity",identity_conflict,identity,identity,high,negative,true,true,"499",,,active,"Unusual number of SSNs"
id_analytics,reason_code,"500","SSN associated with suspected or confirmed fraud",fraud_risky,fraud,fraud,high,negative,true,true,"500",,,active,"SSN linked to fraud"
id_analytics,reason_code,"503","SSN linked to unusual number of addresses",identity_conflict,identity,identity,medium,negative,true,false,"503",,,active,"SSN linked to many addresses"
id_analytics,reason_code,"504","SSN linked to unusual number of home phone numbers",identity_conflict,identity,identity,medium,negative,true,false,"504",,,active,"SSN linked to many home phones"
id_analytics,reason_code,"506","High number of historic applications using SSN",identity_risky,identity,identity,medium,negative,true,false,"506",,,active,"Many historic applications on SSN"
id_analytics,reason_code,"507","High number of recent applications using SSN",identity_risky,identity,identity,high,negative,true,true,"507",,,active,"Many recent applications on SSN"
id_analytics,reason_code,"510","NETWORK - Unable to confirm SSN in association with other identity elements",ssn_unverifiable,identity,identity,medium,negative,true,false,"510",,,active,"Unable to confirm SSN with identity"
id_analytics,reason_code,"514","SSN linked to unusual number of dates of birth",identity_conflict,identity,identity,high,negative,true,true,"514",,,active,"SSN linked to many DOBs"
id_analytics,reason_code,"516","Associated with unusual activity or frauds reported to the ID Network",fraud_risky,fraud,fraud,high,negative,true,true,"516",,,active,"Unusual activity in ID Network"
id_analytics,reason_code,"520","Address associated with suspected or confirmed fraud",fraud_risky,fraud,fraud,high,negative,true,true,"520",,,active,"Address linked to suspected fraud"
id_analytics,reason_code,"524","Address type is generally associated with high risk",address_high_risk,address,address,medium,negative,true,false,"524",,,active,"Address type high risk"
id_analytics,reason_code,"526","High number of historic applications using address",address_risky,address,address,medium,negative,true,false,"526",,,active,"Many historic applications on address"
id_analytics,reason_code,"539","Historic usage patterns of address are generally associated with high risk",address_high_risk,address,address,medium,negative,true,false,"539",,,active,"Address history high risk"
id_analytics,reason_code,"554","Unable to confirm name in association with other identity elements",name_unverifiable,identity,identity,medium,negative,true,false,"554",,,active,"Unable to confirm name"
id_analytics,reason_code,"555","Unable to associate name with the address",identity_conflict,identity,identity,medium,negative,true,false,"555",,,active,"Name not associated with address"
id_analytics,reason_code,"556","Multiple names associated with address",identity_conflict,identity,identity,medium,negative,true,false,"556",,,active,"Multiple names at address"
id_analytics,reason_code,"564","Phone number type is generally associated with high risk",phone_high_risk,phone,phone,medium,negative,true,false,"564",,,active,"Phone type high risk"
id_analytics,reason_code,"567","High number of historic applications using home phone number",phone_risky,phone,phone,medium,negative,true,false,"567",,,active,"Many historic applications on phone"
id_analytics,reason_code,"568","High number of recent applications using home phone number",phone_risky,phone,phone,high,negative,true,true,"568",,,active,"Many recent applications on phone"
id_analytics,reason_code,"569","Unable to confirm home phone number in association with other identity elements",phone_unverifiable,phone,phone,medium,negative,true,false,"569",,,active,"Unable to confirm home phone"
id_analytics,reason_code,"572","Phone number associated with suspected or confirmed fraud",fraud_risky,fraud,fraud,high,negative,true,true,"572",,,active,"Phone linked to fraud"
id_analytics,reason_code,"573","Phone number likely fictitious",phone_unverifiable,phone,phone,medium,negative,true,false,"573",,,active,"Phone likely fictitious"
id_analytics,reason_code,"574","Unusual number of phone numbers linked to this identity",identity_conflict,identity,identity,medium,negative,true,false,"574",,,active,"Many phone numbers on identity"
id_analytics,reason_code,"576","Phone type generally associated with risk",phone_high_risk,phone,phone,medium,negative,true,false,"576",,,active,"Phone type associated with risk"
id_analytics,reason_code,"580","Combination of elements of the email address generally associated with high risk",contactability_email_risk,contactability,contactability,medium,negative,true,false,"580",,,active,"Email pattern high risk"
id_analytics,reason_code,"589","Address match to USPIS Hot Address List",address_high_risk,address,address,high,negative,true,true,"589",,,active,"USPIS hot address list match"
id_analytics,reason_code,"591","Historic usage patterns of identity elements are generally associated with high risk",identity_risky,identity,identity,medium,negative,true,false,"591",,,active,"Identity history high risk"
id_analytics,reason_code,"592","Recent applications from this identity",identity_risky,identity,identity,medium,negative,true,false,"592",,,active,"Recent applications on identity"
id_analytics,reason_code,"593","Recent applications with inconsistent identity elements",identity_conflict,identity,identity,high,negative,true,true,"593",,,active,"Recent inconsistent identity elements"
id_analytics,reason_code,"594","Historic applications with inconsistent identity elements",identity_conflict,identity,identity,medium,negative,true,false,"594",,,active,"Historic inconsistent identity elements"
id_analytics,reason_code,"595","Recent usage patterns of identity elements associated with risk",identity_risky,identity,identity,high,negative,true,true,"595",,,active,"Recent risky identity patterns"
id_analytics,reason_code,"596","High number of recent applications with inconsistent identity elements",identity_conflict,identity,identity,high,negative,true,true,"596",,,active,"Many recent inconsistent applications"
id_analytics,reason_code,"597","High number of historic applications with inconsistent identity elements",identity_conflict,identity,identity,high,negative,true,true,"597",,,active,"Many historic inconsistent applications"
id_analytics,reason_code,"600","Phone number associated with confirmed fraud",fraud_risky,fraud,fraud,high,negative,true,true,"600",,,active,"Phone linked to confirmed fraud"
id_analytics,reason_code,"612","High volume of historic applications for this identity",identity_risky,identity,identity,medium,negative,true,false,"612",,,active,"High historic application volume"
id_analytics,reason_code,"613","High volume of recent applications for this identity",identity_risky,identity,identity,high,negative,true,true,"613",,,active,"High recent application volume"
id_analytics,reason_code,"614","SSN associated with confirmed fraud",fraud_risky,fraud,fraud,high,negative,true,true,"614",,,active,"SSN linked to confirmed fraud"
id_analytics,reason_code,"616","Recent applications using this phone number",phone_risky,phone,phone,medium,negative,true,false,"616",,,active,"Recent applications on phone"
id_analytics,reason_code,"618","Missing date of birth",dob_missing,identity,identity,medium,negative,true,false,"618",,,active,"Missing DOB"
id_analytics,reason_code,"626","IP address mismatch with phone number",network_mismatch,network,network,medium,negative,true,false,"626",,,active,"IP and phone mismatch"
id_analytics,reason_code,"627","IP address mismatch with zip code",network_mismatch,network,network,medium,negative,true,false,"627",,,active,"IP and ZIP mismatch"
id_analytics,reason_code,"628","Internet connection characteristics generally associated with high risk",network_high_risk,network,network,medium,negative,true,false,"628",,,active,"Internet connection high risk"
id_analytics,reason_code,"636","Recent applications from this address",address_risky,address,address,medium,negative,true,false,"636",,,active,"Recent applications on address"
id_analytics,reason_code,"637","Unable to confirm DOB in association with other identity elements",dob_unverifiable,identity,identity,medium,negative,true,false,"637",,,active,"Unable to confirm DOB"
id_analytics,reason_code,"639","Unable to confirm address in association with other identity elements",address_unverifiable,address,address,medium,negative,true,false,"639",,,active,"Unable to confirm address"
id_analytics,reason_code,"641","Unusual number of emails linked to this identity",identity_risky,identity,identity,medium,negative,true,false,"641",,,active,"Many emails on identity"
id_analytics,reason_code,"642","High number of recent applications using email",contactability_email_risk,contactability,contactability,medium,negative,true,false,"642",,,active,"Many recent applications on email"
id_analytics,reason_code,"643","Recent applications using this email",contactability_email_risk,contactability,contactability,medium,negative,true,false,"643",,,active,"Recent applications on email"
id_analytics,reason_code,"645","Missing email",contactability_email_missing,contactability,contactability,low,negative,false,false,"645",,,active,"Missing email"
id_analytics,reason_code,"646","Historic usage patterns of phone associated with risk",phone_risky,phone,phone,medium,negative,true,false,"646",,,active,"Phone history associated with risk"
id_analytics,reason_code,"657","Unusual number of addresses linked to this identity",identity_conflict,identity,identity,medium,negative,true,false,"657",,,active,"Many addresses on identity"
id_analytics,reason_code,"658","Unusual number of dates of birth associated with this identity",identity_conflict,identity,identity,high,negative,true,true,"658",,,active,"Many DOBs on identity"
id_analytics,reason_code,"675","Email type generally associated with high risk",contactability_email_risk,contactability,contactability,medium,negative,true,false,"675",,,active,"Email type high risk"
id_analytics,reason_code,"700","Name/DOB match with OFAC List",compliance_watchlist_match,compliance,compliance,high,negative,true,true,"700",,,active,"Name and DOB match OFAC"
id_analytics,reason_code,"701","Possible name match with OFAC List",compliance_watchlist_match,compliance,compliance,high,negative,true,true,"701",,,active,"Possible OFAC name match"
id_analytics,reason_code,"721","Insufficient history",identity_insufficient_history,identity,identity,medium,negative,false,false,"721",,,active,"Insufficient history"
id_analytics,reason_code,"722","Lack of history at this address",address_insufficient_history,address,address,low,neutral,false,false,"722",,,active,"Limited address history"
id_analytics,reason_code,"723","Lack of history at this address and phone",identity_insufficient_history,identity,identity,low,neutral,false,false,"723",,,active,"Limited address and phone history"
id_analytics,reason_code,"724","Lack of history at this phone",phone_insufficient_history,phone,phone,low,neutral,false,false,"724",,,active,"Limited phone history"
id_analytics,reason_code,"733","Distance between historical addresses",address_distance_variation,address,address,low,neutral,false,false,"733",,,active,"Distance between historical addresses"
id_analytics,reason_code,"867","High risk patterns associated with address history",address_high_risk,address,address,medium,negative,true,false,"867",,,active,"High-risk address history"
id_analytics,reason_code,"904","Historic usage patterns of SSN are generally associated with low risk",identity_ssn_low_risk,identity,identity,low,positive,false,false,"904",,,active,"SSN history low risk"
id_analytics,reason_code,"907","Strong match of identity elements across multiple data sources",identity_strong_positive_signal,identity,identity,low,positive,false,false,"907",,,active,"Strong identity match"
id_analytics,reason_code,"908","Identity elements matched across multiple data sources",identity_low_risk,identity,identity,low,positive,false,false,"908",,,active,"Identity matched across sources"
id_analytics,reason_code,"909","SSN generally associated with low risk",identity_ssn_low_risk,identity,identity,low,positive,false,false,"909",,,active,"SSN low risk"
id_analytics,reason_code,"920","Historic usage patterns of address are generally associated with low risk",address_low_risk,address,address,low,positive,false,false,"920",,,active,"Address history low risk"
id_analytics,reason_code,"925","Address type is generally associated with low risk",address_low_risk,address,address,low,positive,false,false,"925",,,active,"Address type low risk"
id_analytics,reason_code,"934","Low risk patterns associated with address history",address_low_risk,address,address,low,positive,false,false,"934",,,active,"Low-risk address history"
id_analytics,reason_code,"946","Email type generally associated with low risk",contactability_email_low_risk,contactability,contactability,low,positive,false,false,"946",,,active,"Email type low risk"
id_analytics,reason_code,"953","Internet connection characteristics generally associated with low risk",network_low_risk,network,network,low,positive,false,false,"953",,,active,"Internet connection low risk"
id_analytics,reason_code,"960","Historic usage patterns of home phone number are generally associated with low risk",phone_low_risk,phone,phone,low,positive,false,false,"960",,,active,"Phone history low risk"
id_analytics,reason_code,"962","Combination of home phone number with other identity elements is generally associated with low risk",phone_low_risk,phone,phone,low,positive,false,false,"962",,,active,"Phone combination low risk"
id_analytics,reason_code,"963","Phone type generally associated with low risk",phone_low_risk,phone,phone,low,positive,false,false,"963",,,active,"Phone type low risk"
id_analytics,reason_code,"967","Distance between address and area code of secondary phone number generally associated with low risk",phone_low_risk,phone,phone,low,positive,false,false,"967",,,active,"Secondary phone distance low risk"
id_analytics,reason_code,"980","Combination of elements of the email address generally associated with low risk",contactability_email_low_risk,contactability,contactability,low,positive,false,false,"980",,,active,"Email pattern low risk"
id_analytics,reason_code,"992","Historic usage patterns of identity elements are generally associated with low risk",identity_low_risk,identity,identity,low,positive,false,false,"992",,,active,"Identity history low risk"
id_analytics,reason_code,"994","Consistent historical assertion of identity elements",identity_low_risk,identity,identity,low,positive,false,false,"994",,,active,"Consistent identity history"
