,provider,source_type,source_code,source_description,canonical_concept,concept_group,signal_class,severity,direction,requires_review,can_contribute_to_decline,dedupe_key,narrative_key,notes,status
,socure,reason_code,akaFuzzy-dobExact,"Fuzzy alias match, exact DOB match",identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,akaFuzzy-dobExact,,,active
,socure,reason_code,akaPhonetic-dobExact,"Alias name match based on phonetic similarity, exact DOB match",identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,akaPhonetic-dobExact,,,active
,socure,reason_code,I301,Account is correlated with the first name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I301,,,active
,socure,reason_code,I301,Account is correlated with the first name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I301,,,active
,socure,reason_code,I302,Account is conditionally correlated with the first name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I302,,,active
,socure,reason_code,I302,Account is conditionally correlated with the first name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I302,,,active
,socure,reason_code,I304,Account is correlated with the last name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I304,,,active
,socure,reason_code,I304,Account is correlated with the last name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I304,,,active
,socure,reason_code,I305,Account is conditionally correlated with the last name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I305,,,active
,socure,reason_code,I305,Account is conditionally correlated with the last name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I305,,,active
,socure,reason_code,I307,Account is correlated with the business name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I307,,,active
,socure,reason_code,I307,Account is correlated with the business name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I307,,,active
,socure,reason_code,I308,Account is conditionally correlated with the business name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I308,,,active
,socure,reason_code,I308,Account is conditionally correlated with the business name,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I308,,,active
,socure,reason_code,I822,First name matches input data,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I822,,,active
,socure,reason_code,I823,Last name matches input data,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I823,,,active
,socure,reason_code,I871,Last Name exact did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I871,,,inactive_not_used
,socure,reason_code,I872,Last name fuzzy did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I872,,,inactive_not_used
,socure,reason_code,I873,Last name fuzzy alternate did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I873,,,inactive_not_used
,socure,reason_code,I874,First name exact did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I874,,,inactive_not_used
,socure,reason_code,I875,First name fuzzy did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I875,,,inactive_not_used
,socure,reason_code,I876,First name fuzzy alternate did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I876,,,inactive_not_used
,socure,reason_code,I877,Middle name exact did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I877,,,inactive_not_used
,socure,reason_code,I878,Middle fuzzy did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I878,,,inactive_not_used
,socure,reason_code,I879,Middle fuzzy alternate did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I879,,,inactive_not_used
,socure,reason_code,I881,Name suffix did match AAMVA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I881,,,inactive_not_used
,socure,reason_code,I992,Name verified by the SSA,identity_name_match_exact,identity,identity,low,positive,FALSE,FALSE,I992,,,active
,socure,reason_code,nameEquivalent,Name match based on the same name meaning,identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,nameEquivalent,,,active
,socure,reason_code,nameExact,Exact name match,identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,nameExact,,,active
,socure,reason_code,nameFuzzy,Fuzzy name match,identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,nameFuzzy,,,active
,socure,reason_code,nameInitialized,Name match based on initials,identity_name_match_exact,unknown,unknown,low,neutral,FALSE,FALSE,nameInitialized,,,active
,socure,reason_code,R301,Account is not correlated with the first name,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R301,,,active
,socure,reason_code,R301,Account is not correlated with the first name,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R301,,,active
,socure,reason_code,R302,Account is not correlated with the last name,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R302,,,active
,socure,reason_code,R302,Account is not correlated with the last name,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R302,,,active
,socure,reason_code,R303,Account is not correlated with the business name,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R303,,,active
,socure,reason_code,R303,Account is not correlated with the business name,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R303,,,active
,socure,reason_code,R871,Last Name exact did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R871,,,inactive_not_used
,socure,reason_code,R872,Last name fuzzy did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R872,,,inactive_not_used
,socure,reason_code,R873,Last name fuzzy alternate did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R873,,,inactive_not_used
,socure,reason_code,R874,First name exact did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R874,,,inactive_not_used
,socure,reason_code,R875,First name fuzzy did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R875,,,inactive_not_used
,socure,reason_code,R876,First name fuzzy alternate did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R876,,,inactive_not_used
,socure,reason_code,R877,Middle name exact did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R877,,,inactive_not_used
,socure,reason_code,R878,Middle fuzzy did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R878,,,inactive_not_used
,socure,reason_code,R879,Middle fuzzy alternate did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R879,,,inactive_not_used
,socure,reason_code,R881,Name suffix did not match AAMVA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R881,,,inactive_not_used
,socure,reason_code,R944,Last name was fuzzy matched to the name on record,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R944,,,active
,socure,reason_code,R992,Name cannot be verified by the SSA,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,R992,,,active
,socure,reason_code,removedPersonalTitle,Partial name match due to the removal of an honorary title within the input name,identity_name_match_exact,identity,identity,medium,negative,TRUE,FALSE,removedPersonalTitle,,,active
compliance_watchlist_match,,,,,,,,,,,,,,,
,socure,reason_code,E102,Watchlist check error,compliance_watchlist_match,unknown,unknown,low,neutral,FALSE,FALSE,E102,,,active
,socure,reason_code,I196,Entity did not match any selected watchlists,compliance_watchlist_match,identity,identity,low,positive,FALSE,FALSE,I196,,,active
,socure,reason_code,R170,IP address originates from an OFAC sanctioned country,compliance_watchlist_match,identity,identity,medium,warning,TRUE,FALSE,R170,,,inactive_not_used
,socure,reason_code,R173,National ID is from an OFAC sanctioned country,compliance_watchlist_match,identity,identity,medium,negative,TRUE,FALSE,R173,,,active
,socure,reason_code,R180,Entity has at least 1 match on an OFAC SDN watchlist,compliance_watchlist_match,compliance,compliance,high,negative,TRUE,TRUE,R180,,,active
,socure,reason_code,R181,Entity has at least one match on an OFAC Non-SDN watchlist,compliance_watchlist_match,compliance,compliance,high,negative,TRUE,TRUE,R181,,,active
,socure,reason_code,R182,Entity has at least 1 match on a sanctions watchlist,compliance_watchlist_match,compliance,compliance,high,negative,TRUE,TRUE,R182,,,active
,socure,reason_code,R186,Entity matched selected watchlists,compliance_watchlist_match,compliance,compliance,high,negative,TRUE,TRUE,R186,,,active
,socure,reason_code,R189,Entity has at least 1 match on a custom watchlist,compliance_watchlist_match,compliance,compliance,high,negative,TRUE,TRUE,R189,,,active
,socure,reason_code,R192,Crypto Handle has at least 1 match on a sanctions list,compliance_watchlist_match,identity,identity,medium,negative,TRUE,FALSE,R192,,,active
,socure,reason_code,R193,Routing number has at least 1 match on a sanctions list,compliance_watchlist_match,identity,identity,medium,negative,TRUE,FALSE,R193,,,active
,socure,reason_code,R194,Account number has at least 1 match on a sanctions list,compliance_watchlist_match,identity,identity,medium,negative,TRUE,FALSE,R194,,,active
,socure,reason_code,R195,National ID has at least 1 match on a sanctions list,compliance_watchlist_match,identity,identity,medium,negative,TRUE,FALSE,R195,,,active
,socure,reason_code,R640,IP address is from an OFAC sanctioned country,compliance_watchlist_match,identity,identity,medium,warning,TRUE,FALSE,R640,,,inactive_not_used
,socure,reason_code,R926,(Deprecated) - Entered name on OFAC watchlist,compliance_watchlist_match,compliance,compliance,high,negative,TRUE,TRUE,R926,,,deprecated
,socure,reason_code,R960,Entered name match on non-OFAC global watchlists,compliance_watchlist_match,compliance,compliance,high,negative,TRUE,TRUE,R960,,,active
identity_not_found,,,,,,,,,,,,,,,
,socure,reason_code,I1001,Identity not found within Consortium Institutions,identity_not_found,identity,identity,low,positive,FALSE,FALSE,I1001,,,active
,socure,reason_code,R214,Input National ID is not found in best-matched identity,identity_ssn_not_verified,identity,identity,medium,negative,TRUE,FALSE,R214,,,active
,socure,reason_code,R219,Input National ID is not found in public records,identity_ssn_not_verified,identity,identity,medium,negative,TRUE,FALSE,R219,,,active
,socure,reason_code,R712,"Unable to verify ZIP code for the input address, city and state combination",identity_not_found,identity,identity,medium,warning,TRUE,FALSE,R712,,,inactive_not_used
,socure,reason_code,R940,SSN/ITIN not found in public records,identity_not_found,identity,identity,medium,negative,TRUE,FALSE,R940,,,active
,socure,reason_code,R952,(Deprecated) - Unable to verify driver license number,identity_not_found,identity,identity,medium,negative,TRUE,FALSE,R952,,,deprecated
,socure,reason_code,I1002,National ID was not provided and Socure was unable to prefill National ID for the given identity,identity_not_found,identity,identity,low,negative,FALSE,FALSE,I1002,,,active
,socure,reason_code,R901,SSN/ITIN cannot be resolved to the individual,identity_ssn_not_verified,identity,identity,medium,negative,TRUE,FALSE,R901,,,active
,socure,reason_code,R902,Name cannot be resolved to the individual,identity_name_not_found,identity,identity,medium,negative,TRUE,FALSE,R902,,,active
,socure,reason_code,R919,Address cannot be resolved to the individual,address_unresolvable,contactability,contactability,medium,warning,TRUE,FALSE,R919,,,active
,socure,reason_code,R922,DOB cannot be resolved to the individual,identity_unverifiable,identity,identity,medium,negative,TRUE,FALSE,R922,,,active
identity_strong_positive_signal,,,,,,,,,,,,,,,
,socure,reason_code,I1004,Matched identity onto at least 1 other Consortium Institution,identity_strong_positive_signal,identity,identity,low,positive,FALSE,FALSE,I1004,,,active
,socure,reason_code,I1005,Matched identity onto at least 4 other Consortium Institutions,identity_strong_positive_signal,identity,identity,low,positive,FALSE,FALSE,I1005,,,active
,socure,reason_code,I121,Social networks match,identity_strong_positive_signal,identity,identity,low,positive,FALSE,FALSE,I121,,,active
,socure,reason_code,I127,Online sources are representative of a broader digital footprint than just social networks,identity_strong_positive_signal,identity,identity,low,positive,FALSE,FALSE,I127,,,active
,socure,reason_code,I144,Full name tagged as positive,identity_strong_positive_signal,identity,identity,low,positive,FALSE,FALSE,I144,,,active
,socure,reason_code,I146,Device tagged as positive,identity_strong_positive_signal,identity,identity,low,positive,FALSE,FALSE,I146,,,inactive_not_used
,socure,reason_code,I999,Identity decease unverified by SSA,identity_strong_positive_signal,identity,identity,low,positive,FALSE,FALSE,I999,,,active
,socure,reason_code,R1055,Matched identity onto at least 17 other transaction consortium institutions,identity_strong_positive_signal,identity,identity,medium,negative,TRUE,FALSE,R1055,,,active
,socure,reason_code,R999,Identity decease verified by SSA,identity_strong_positive_signal,identity,identity,medium,negative,TRUE,FALSE,R999,,,active
contactability_email_risk,,,,,,,,,,,,,,,
,socure,reason_code,I140,Email address tagged as positive,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I140,,,active
,socure,reason_code,I141,Email domain tagged as positive,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I141,,,active
,socure,reason_code,I406,Device token previously associated with email address,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I406,,,inactive_not_used
,socure,reason_code,I411,Device session is associated with more than 2 emails,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I411,,,inactive_not_used
,socure,reason_code,I520,Emailrisk score represents low risk,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I520,,,active
,socure,reason_code,I550,Email address is more than 180 days and less than 1 year old,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I550,,,active
,socure,reason_code,I551,Email address is more than 1 year and less than 2 years old,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I551,,,active
,socure,reason_code,I552,(Deprecated) - Email address is between 180 days and 2 years old,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I552,,,deprecated
,socure,reason_code,I553,Email address is more than 2 years old,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I553,,,active
,socure,reason_code,I554,High-confidence match between the email and first name,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I554,,,active
,socure,reason_code,I555,Email address domain is more than 180 days old,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I555,,,active
,socure,reason_code,I556,Email address can be resolved to the individual,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I556,,,active
,socure,reason_code,I557,Email is correlated with the first name,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I557,,,active
,socure,reason_code,I558,Email is correlated with the last name,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I558,,,active
,socure,reason_code,I559,High-confidence match between the email and last name,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I559,,,active
,socure,reason_code,I560,Email address domain represents a Fortune 500 company,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I560,,,active
,socure,reason_code,I561,Email address domain represents a US College/University,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I561,,,active
,socure,reason_code,I562,Email username contains ZIP code of current application,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I562,,,inactive_not_used
,socure,reason_code,I563,"Email address domain contains a special use domain (RFC, arpa, example, invalid, local, onion, etc.)",contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I563,,,active
,socure,reason_code,I566,Email address provider is found in Public Web Source,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I566,,,active
,socure,reason_code,I567,Email username contains five or more alphabetic sections,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I567,,,active
,socure,reason_code,I568,Email handle contains a name,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I568,,,active
,socure,reason_code,I569,Email handle contains input first name,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I569,,,active
,socure,reason_code,I570,Email handle contains input surname,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I570,,,active
,socure,reason_code,I571,Email top-level domain represents a non-US country,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I571,,,active
,socure,reason_code,I572,Input email sub domain possibly a typo of a popular email domain,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I572,,,active
,socure,reason_code,I573,Input email top level domain possibly a typo of a popular TLD,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I573,,,active
,socure,reason_code,I574,Email domain is private relay,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I574,,,active
,socure,reason_code,I575,Provided email is possible filler email,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I575,,,active
,socure,reason_code,I576,The email handle aligns to the pattern of valid email addresses,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I576,,,active
,socure,reason_code,I577,Email is associated to small businesses,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I577,,,active
,socure,reason_code,I578,Email belongs to a corporate,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I578,,,active
,socure,reason_code,I592,The provided email-handle (per n-gram frequencies in Socure consortium) is consistent with Socure consortium email-handle patterns,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I592,,,active
,socure,reason_code,I637,Email address is associated with the input phone number,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I637,,,active
,socure,reason_code,I721,Email address is correlated with the input physical address,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I721,,,active
,socure,reason_code,I722,Email address is partially correlated with the input physical address,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I722,,,active
,socure,reason_code,I923,Email address was not provided at input,contactability_email_risk,identity,identity,low,positive,FALSE,FALSE,I923,,,active
,socure,reason_code,R1005,Found at least 3 distinct emails associated with the given identity,contactability_email_anomaly,contactability,contactability,medium,warning,TRUE,FALSE,R1005,,,active
,socure,reason_code,R1058,Found at least 4 distinct emails associated with the given identity,contactability_email_anomaly,contactability,contactability,medium,warning,TRUE,FALSE,R1058,,,active
,socure,reason_code,R1061,Seen input phone number with in at least 4 distinct emails in transaction consortium,contactability_email_anomaly,contactability,contactability,medium,warning,TRUE,FALSE,R1061,,,active
,socure,reason_code,R110,Alert List email address match,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R110,,,active
,socure,reason_code,R140,Email address tagged as negative,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R140,,,active
,socure,reason_code,R141,Email domain tagged as negative,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R141,,,active
,socure,reason_code,R160,Email address tagged as suspect,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R160,,,active
,socure,reason_code,R161,Email domain tagged as suspect,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R161,,,active
,socure,reason_code,R172,Email is from an OFAC sanctioned country,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R172,,,active
,socure,reason_code,R190,Email has at least 1 match on a sanctions watchlist,contactability_email_risk,compliance,compliance,high,negative,TRUE,TRUE,R190,,,active
,socure,reason_code,R520,Emailrisk score represents high risk,email_risky,contactability,contactability,medium,warning,TRUE,FALSE,R520,,,active
,socure,reason_code,R551,Email address is invalid,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R551,,,active
,socure,reason_code,R557,Email address is disposable,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R557,,,active
,socure,reason_code,R558,(Deprecated) - Email address is auto-generated,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R558,,,deprecated
,socure,reason_code,R559,Email address cannot be resolved to the individual,email_risky,contactability,contactability,medium,warning,TRUE,FALSE,R559,,,active
,socure,reason_code,R560,Majority of the characters in the input email are numbers,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R560,,,active
,socure,reason_code,R561,Email address is less than 180 days old,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R561,,,active
,socure,reason_code,R562,Email address domain is less than 180 days old,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R562,,,active
,socure,reason_code,R563,Email address domain is invalid,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R563,,,active
,socure,reason_code,R564,Email address username is invalid,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R564,,,active
,socure,reason_code,R565,Email address domain represents high risk,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R565,,,active
,socure,reason_code,R566,Email address has not been seen before,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R566,,,active
,socure,reason_code,R567,Email address top-level domain represents high risk,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R567,,,active
,socure,reason_code,R568,Email username appears to be scrambled,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R568,,,active
,socure,reason_code,R569,Email string is unusually long,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R569,,,active
,socure,reason_code,R571,Low activity observed on the email address in the last 180 days,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R571,,,active
,socure,reason_code,R572,Email associated with more than 2 phone numbers in the last 2 years,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R572,,,active
,socure,reason_code,R573,The email handle contains patterns of characters that exhibit an unusually low frequency of occurrences,contactability_email_anomaly,contactability,contactability,medium,warning,TRUE,FALSE,R573,,,active
,socure,reason_code,R574,Email handle is composed of more than 50% duplicate characters,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R574,,,active
,socure,reason_code,R575,High probability of tumbling activity in input email,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R575,,,active
,socure,reason_code,R577,Email handle has an abnormal number pattern,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R577,,,active
,socure,reason_code,R578,Email handle has an abnormal special character pattern,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R578,,,active
,socure,reason_code,R579,The email handle is not consistent with Socures consortium email-handle patterns,contactability_email_anomaly,contactability,contactability,medium,warning,TRUE,FALSE,R579,,,active
,socure,reason_code,R580,The email handle exhibits abnormal input behavior,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R580,,,active
,socure,reason_code,R582,Email is first seen under 30 days,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R582,,,active
,socure,reason_code,R583,Email is first seen between 30 to 60 days,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R583,,,active
,socure,reason_code,R584,Email is first seen between 60 to 90 days,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R584,,,active
,socure,reason_code,R585,Email is first seen between 90 to 180 days,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R585,,,active
,socure,reason_code,R586,Email originates from a OFAC sanctioned country,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R586,,,active
,socure,reason_code,R587,Email is a possible fake email,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R587,,,active
,socure,reason_code,R588,Email is a possible distribution list,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R588,,,active
,socure,reason_code,R593,The provided email-handle (per n-gram frequencies in Socure consortium) is uncommon with Socure consortium email-handle patterns,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R593,,,active
,socure,reason_code,R594,The provided email-handle has a high raw type distance (per Qwerty keyboard positions),contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R594,,,active
,socure,reason_code,R596,"For account, the daily average of the proportion of the provided email domain is less than 1% (30 days)",contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R596,,,active
,socure,reason_code,R597,"For account, the daily average of the proportion of the provided email domains between 1% and 4% (30 days)",contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R597,,,active
,socure,reason_code,R659,Phone number has been associated with more than two email addresses in the last 60 days as per Socure consortium network,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R659,,,active
,socure,reason_code,R670,Phone and email characteristics are unlikely to belong together,contactability_email_risk,contactability,contactability,medium,warning,TRUE,FALSE,R670,,,active
