provider,source_type,source_code,source_description,canonical_concept,concept_group,signal_class,severity,direction,requires_review,can_contribute_to_decline,dedupe_key,narrative_key,notes
socure,reason_code,I344,Indicates if the account has been seen over 730 days ago,,identity,identity,low,positive,FALSE,FALSE,I344,,
socure,reason_code,I350,DOB indicates an age between 18 and 20,,identity,identity,low,positive,FALSE,FALSE,I350,,
socure,reason_code,I351,DOB indicates an age of 21 and over,,identity,identity,low,positive,FALSE,FALSE,I351,,
socure,reason_code,I380,(Deprecated) - Document authentic,,identity,identity,low,positive,FALSE,FALSE,I380,,
socure,reason_code,I382,(Deprecated) - Document image quality good,,identity,identity,low,positive,FALSE,FALSE,I382,,
socure,reason_code,I385,(Deprecated) - Image represents an ID,,identity,identity,low,positive,FALSE,FALSE,I385,,
socure,reason_code,I401,Device token previously encountered,,identity,identity,low,positive,FALSE,FALSE,I401,,
socure,reason_code,I402,Multiple users associated with device,,identity,identity,low,positive,FALSE,FALSE,I402,,
socure,reason_code,I403,Identity may not be primary device user,,identity,identity,low,positive,FALSE,FALSE,I403,,
socure,reason_code,I404,Identity associated with primary device owner,,identity,identity,low,positive,FALSE,FALSE,I404,,
socure,reason_code,I407,Device token previously associated with first name,,identity,identity,low,positive,FALSE,FALSE,I407,,
socure,reason_code,I408,Device token previously associated with last name,,identity,identity,low,positive,FALSE,FALSE,I408,,
socure,reason_code,I409,Device token not encountered within the past 5 days,,identity,identity,low,positive,FALSE,FALSE,I409,,
socure,reason_code,I412,Device session is associated with more than 2 first names,,identity,identity,low,positive,FALSE,FALSE,I412,,
socure,reason_code,I413,Device session is associated with more than 2 last names,,identity,identity,low,positive,FALSE,FALSE,I413,,
socure,reason_code,I414,Session connected using a proxy,,identity,identity,low,positive,FALSE,FALSE,I414,,
socure,reason_code,I415,Session connected using an IP located more than 100 miles from the address,,identity,identity,low,positive,FALSE,FALSE,I415,,
socure,reason_code,I416,Session IP originates from within the United States,,identity,identity,low,positive,FALSE,FALSE,I416,,
socure,reason_code,I417,Session IP originates from outside the United States,,identity,identity,low,positive,FALSE,FALSE,I417,,
socure,reason_code,I419,Session connected using a residential IP address,,identity,identity,low,positive,FALSE,FALSE,I419,,
socure,reason_code,I421,Session connected using a mobile IP address,,identity,identity,low,positive,FALSE,FALSE,I421,,
socure,reason_code,I423,Device is a physical device,,identity,identity,low,positive,FALSE,FALSE,I423,,
socure,reason_code,I424,The device type is a desktop or laptop computer,,identity,identity,low,positive,FALSE,FALSE,I424,,
socure,reason_code,I425,"The device type is mobile, tablet or wearable",,identity,identity,low,positive,FALSE,FALSE,I425,,
socure,reason_code,I428,Mobile network associated with the device is a non-US carrier,,identity,identity,low,positive,FALSE,FALSE,I428,,
socure,reason_code,I429,The IP address associated with the request comes from US or a US territory,,identity,identity,low,positive,FALSE,FALSE,I429,,
socure,reason_code,I430,The IP address associated with the request does not come from US or a US territory,,identity,identity,low,positive,FALSE,FALSE,I430,,
socure,reason_code,I431,The timezone set on the device indicates that the device is in the US,,identity,identity,low,positive,FALSE,FALSE,I431,,
socure,reason_code,I631,IP address is provided by a mobile carrier,,identity,identity,low,positive,FALSE,FALSE,I631,,
socure,reason_code,I632,IP Connection is consumer,,identity,identity,low,positive,FALSE,FALSE,I632,,
socure,reason_code,I633,IP Connection is business,,identity,identity,low,positive,FALSE,FALSE,I633,,
socure,reason_code,I634,Proxy is an educational institution,,identity,identity,low,positive,FALSE,FALSE,I634,,
socure,reason_code,I635,Proxy is registered to a corporation,,identity,identity,low,positive,FALSE,FALSE,I635,,
socure,reason_code,I636,IP address originates from the US or US territories,,identity,identity,low,positive,FALSE,FALSE,I636,,
socure,reason_code,I638,IP proxy is originating from Google or Apple consumer privacy networks,,identity,identity,low,positive,FALSE,FALSE,I638,,
socure,reason_code,I639,IP address is a consumer privacy network proxy,,identity,identity,low,positive,FALSE,FALSE,I639,,
socure,reason_code,I641,Presented identity shows high overall correlation in Socures network,,identity,identity,low,positive,FALSE,FALSE,I641,,
socure,reason_code,I704,Address is multi-unit or high rise,,identity,identity,low,positive,FALSE,FALSE,I704,,
socure,reason_code,I705,Address is single unit,,identity,identity,low,positive,FALSE,FALSE,I705,,
socure,reason_code,I706,Address is an accredited college or university,,identity,identity,low,positive,FALSE,FALSE,I706,,
socure,reason_code,I707,Address is residential,,identity,identity,low,positive,FALSE,FALSE,I707,,
socure,reason_code,I708,Address can be resolved to the individual,,identity,identity,low,positive,FALSE,FALSE,I708,,
socure,reason_code,I711,Address is confirmed as deliverable,,identity,identity,low,positive,FALSE,FALSE,I711,,
socure,reason_code,I712,"Address is confirmed deliverable by dropping secondary information (apartment, unit, etc.)",,identity,identity,low,positive,FALSE,FALSE,I712,,
socure,reason_code,I713,"Address is confirmed deliverable but was missing secondary information (apartment, unit, etc.)",,identity,identity,low,positive,FALSE,FALSE,I713,,
socure,reason_code,I714,Address is valid but does not currently receive US Postal Service street delivery,,identity,identity,low,positive,FALSE,FALSE,I714,,
socure,reason_code,I716,Address is a Small Office/Home Office (SOHO),,identity,identity,low,positive,FALSE,FALSE,I716,,
socure,reason_code,I720,Addressrisk score represents low risk,,identity,identity,low,positive,FALSE,FALSE,I720,,
socure,reason_code,I730,Distance between input address and store address is less than15 miles,,identity,identity,low,positive,FALSE,FALSE,I730,,
socure,reason_code,I731,Distance between input address and store address is between 15 miles and 30 miles,,identity,identity,low,positive,FALSE,FALSE,I731,,
socure,reason_code,I732,Distance between input address and store address is between 30 miles and 60 miles,,identity,identity,low,positive,FALSE,FALSE,I732,,
socure,reason_code,I803,Check Digit Integrity passed,,identity,identity,low,positive,FALSE,FALSE,I803,,
socure,reason_code,I805,(Deprecated) - Image DPI not sufficient for detailed analysis; some tests were not conducted,,identity,identity,low,positive,FALSE,FALSE,I805,,
socure,reason_code,I820,Headshot passes integrity checks,,identity,identity,low,positive,FALSE,FALSE,I820,,
socure,reason_code,I826,Document ID information is consistent,,identity,identity,low,positive,FALSE,FALSE,I826,,
socure,reason_code,I831,Bar code data is valid,,identity,identity,low,positive,FALSE,FALSE,I831,,
socure,reason_code,I832,(Deprecated) - ID bar code matches the document data,,identity,identity,low,positive,FALSE,FALSE,I832,,
socure,reason_code,I833,MRZ data is valid,,identity,identity,low,positive,FALSE,FALSE,I833,,
socure,reason_code,I835,Profile image contains one face,,identity,identity,low,positive,FALSE,FALSE,I835,,
socure,reason_code,I836,Profile image matches ID image,,identity,identity,low,positive,FALSE,FALSE,I836,,
socure,reason_code,I838,"Barcode data could not be read, and was not used in document analysis",,identity,identity,low,positive,FALSE,FALSE,I838,,
socure,reason_code,I845,Age meets minimum requirements,,identity,identity,low,positive,FALSE,FALSE,I845,,
socure,reason_code,I849,Incorrect ID type selected,,identity,identity,low,positive,FALSE,FALSE,I849,,
socure,reason_code,I854,The back of the license was not passed; no barcode to extract information,,identity,identity,low,positive,FALSE,FALSE,I854,,
socure,reason_code,I856,Liveness was not determined,,identity,identity,low,positive,FALSE,FALSE,I856,,
socure,reason_code,I859,Image validated against past headshots,,identity,identity,low,positive,FALSE,FALSE,I859,,
socure,reason_code,I860,Image correlation was not calculated for alert list,,identity,identity,low,positive,FALSE,FALSE,I860,,
socure,reason_code,I866,AAMVA ran successfully,,identity,identity,low,positive,FALSE,FALSE,I866,,
socure,reason_code,I867,All fields matched AAMVA,,identity,identity,low,positive,FALSE,FALSE,I867,,
socure,reason_code,I868,Jurisdiction or ID Type not supported by AAMVA,,identity,identity,low,positive,FALSE,FALSE,I868,,
socure,reason_code,I869,ID number did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I869,,
socure,reason_code,I880,Middle initial did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I880,,
socure,reason_code,I882,Doc Category did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I882,,
socure,reason_code,I883,Issue date did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I883,,
socure,reason_code,I884,Expiration did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I884,,
socure,reason_code,I885,Sex did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I885,,
socure,reason_code,I886,Height did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I886,,
socure,reason_code,I887,Weight did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I887,,
socure,reason_code,I888,Eye color did match AAMVA,,identity,identity,low,positive,FALSE,FALSE,I888,,
socure,reason_code,I902,(Deprecated) - Entered name missing,,identity,identity,low,positive,FALSE,FALSE,I902,,
socure,reason_code,I903,Address was not provided at input,,identity,identity,low,positive,FALSE,FALSE,I903,,
socure,reason_code,I904,SSN/ITIN was not provided at input,,identity,identity,low,positive,FALSE,FALSE,I904,,
socure,reason_code,I905,SSN/ITIN provided at input contained only 4 digits,,identity,identity,low,positive,FALSE,FALSE,I905,,
socure,reason_code,I906,DOB was not provided at input,,identity,identity,low,positive,FALSE,FALSE,I906,,
socure,reason_code,I907,SSN is issued to a non-US citizen,,identity,identity,low,positive,FALSE,FALSE,I907,,
socure,reason_code,I909,First name and last name are possibly reversed,,identity,identity,low,positive,FALSE,FALSE,I909,,
socure,reason_code,I911,Address is a PO Box,,identity,identity,low,positive,FALSE,FALSE,I911,,
socure,reason_code,I912,SSN was randomly-issued by the SSA,,identity,identity,low,positive,FALSE,FALSE,I912,,
socure,reason_code,I915,Identity has PO Box is dropped in resolved address,,identity,identity,low,positive,FALSE,FALSE,I915,,
socure,reason_code,I917,Full name and address can be resolved to the individual but the SSN/ITIN is not,,identity,identity,low,positive,FALSE,FALSE,I917,,
socure,reason_code,I919,"Full name, address, and SSN/ITIN can be resolved to the individual",,identity,identity,low,positive,FALSE,FALSE,I919,,
socure,reason_code,I920,Emerging identity indicator,,identity,identity,low,positive,FALSE,FALSE,I920,,
socure,reason_code,I921,Address is an accredited college or university,,identity,identity,low,positive,FALSE,FALSE,I921,,
socure,reason_code,I922,Mobile number was not provided at input,,identity,identity,low,positive,FALSE,FALSE,I922,,
socure,reason_code,I924,SSN/ITIN missing at input but available on record,,identity,identity,low,positive,FALSE,FALSE,I924,,
socure,reason_code,I931,First name or last name may refer to a non-person entity,,identity,identity,low,positive,FALSE,FALSE,I931,,
socure,reason_code,I933,Multi-party application detected,,identity,identity,low,positive,FALSE,FALSE,I933,,
socure,reason_code,I975,Non-MLA covered borrower status,,identity,identity,low,positive,FALSE,FALSE,I975,,
socure,reason_code,I990,Either emergent address or recent move,,identity,identity,low,positive,FALSE,FALSE,I990,,
socure,reason_code,R1001,Found at least 2 distinct DOBs associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1001,,
socure,reason_code,R1002,Found at least 4 distinct first names associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1002,,
socure,reason_code,R1003,Found at least 4 distinct last names associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1003,,
socure,reason_code,R1008,Found at least 2 applications within 30 days of each other associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1008,,
socure,reason_code,R1009,Found at least 2 applications within 90 days of each other associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1009,,
socure,reason_code,R1014,Found at least 1 account marked as Delinquency associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1014,,
socure,reason_code,R1015,Found at least 1 closed account associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1015,,
socure,reason_code,R1016,Found at least 5 closed accounts associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1016,,
socure,reason_code,R1017,Found at least 2 accounts that were opened within 30 days from each other associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1017,,
socure,reason_code,R1018,Found at least 2 accounts that were opened within 90 days from each other associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1018,,
socure,reason_code,R1019,Found at least 2 accounts that were closed within 30 days from each other associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1019,,
socure,reason_code,R1021,Found at least 1 account that has been closed within 30 days from opening associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1021,,
socure,reason_code,R1027,Found at least 1 ACH transaction reported as Delinquency associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1027,,
socure,reason_code,R1028,Found at least 10 returned ACH transactions associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1028,,
socure,reason_code,R1037,Found at least 1 Check transaction reported as Delinquency associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1037,,
socure,reason_code,R1043,Found at least 10 disputed Card transactions associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1043,,
socure,reason_code,R1044,Found at least 20 disputed Card transactions associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1044,,
socure,reason_code,R1045,Found at least 5 Unauthorized disputed Card transactions associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1045,,
socure,reason_code,R1046,Found at least 5 Authorized disputed Card transactions associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1046,,
socure,reason_code,R1047,Found at least 5 Granted disputed Card transactions associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1047,,
socure,reason_code,R1048,Found at least 10 Granted disputed Card transactions associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1048,,
socure,reason_code,R1049,Found at least 2 disputed Card transactions within 1 day from one another associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1049,,
socure,reason_code,R1050,Found at least 2 disputed Card transactions within 7 days from one another associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1050,,
socure,reason_code,R1051,Found at least 1 disputed Card transaction committed within 1 day from account opening associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1051,,
socure,reason_code,R1052,Found at least 1 disputed Card transaction committed within 7 days from account opening associated with the given identity,,identity,identity,medium,negative,TRUE,FALSE,R1052,,
socure,reason_code,R106,Identity element in Alert List,,identity,identity,medium,negative,TRUE,FALSE,R106,,
socure,reason_code,R112,(Deprecated) - IP Address on Alert List,,identity,identity,medium,warning,TRUE,FALSE,R112,,
socure,reason_code,R128,(Deprecated) - Social accounts history insufficient,,identity,identity,medium,negative,TRUE,FALSE,R128,,
socure,reason_code,R129,(Deprecated) - Social accounts connections unnatural,,identity,identity,medium,negative,TRUE,FALSE,R129,,
socure,reason_code,R130,(Deprecated) - Social accounts activity unnatural,,identity,identity,medium,negative,TRUE,FALSE,R130,,
socure,reason_code,R131,(Deprecated) - Social accounts unmaintained,,identity,identity,medium,negative,TRUE,FALSE,R131,,
socure,reason_code,R143,IP Address tagged as negative,,identity,identity,medium,warning,TRUE,FALSE,R143,,
socure,reason_code,R144,Full name tagged as negative,,identity,identity,medium,negative,TRUE,FALSE,R144,,
socure,reason_code,R145,SSN tagged as negative,,identity,identity,medium,negative,TRUE,FALSE,R145,,
socure,reason_code,R146,Device tagged as negative,,identity,identity,medium,negative,TRUE,FALSE,R146,,
socure,reason_code,R150,Unable to call Negative/Positive service,,identity,identity,medium,negative,TRUE,FALSE,R150,,
socure,reason_code,R163,IP Address tagged as suspect,,identity,identity,medium,warning,TRUE,FALSE,R163,,
socure,reason_code,R164,Full name tagged as suspect,,identity,identity,medium,negative,TRUE,FALSE,R164,,
socure,reason_code,R165,SSN tagged as suspect,,identity,identity,medium,negative,TRUE,FALSE,R165,,
socure,reason_code,R166,Device tagged as suspect,,identity,identity,medium,negative,TRUE,FALSE,R166,,
socure,reason_code,R183,Entity has at least 1 match on an enforcement list,,identity,identity,medium,negative,TRUE,FALSE,R183,,
socure,reason_code,R184,Entity has at least 1 hit on a politically exposed person list,,identity,identity,medium,negative,TRUE,FALSE,R184,,
socure,reason_code,R187,Address resolves to a High-Intensity Drug Trafficking Area,,identity,identity,medium,warning,TRUE,FALSE,R187,,
socure,reason_code,R188,Address resolves to a High-Intensity Financial Crime Area,,identity,identity,medium,warning,TRUE,FALSE,R188,,
socure,reason_code,R201,Input National ID is invalid,,identity,identity,medium,negative,TRUE,FALSE,R201,,
socure,reason_code,R203,Multiple identities are associated with input National ID,,identity,identity,medium,negative,TRUE,FALSE,R203,,
socure,reason_code,R204,Input National ID is associated with multiple last names,,identity,identity,medium,negative,TRUE,FALSE,R204,,
socure,reason_code,R206,Input National ID was issued prior to the input date-of-birth,,identity,identity,medium,negative,TRUE,FALSE,R206,,
socure,reason_code,R207,Input National ID is associated with multiple DOBs,,identity,identity,medium,negative,TRUE,FALSE,R207,,
socure,reason_code,R208,SSN/ITIN is associated with multiple addresses,,identity,identity,medium,warning,TRUE,FALSE,R208,,
socure,reason_code,R209,No former addresses associated with the National ID,,identity,identity,medium,warning,TRUE,FALSE,R209,,
socure,reason_code,R210,Frequency of SSN in Socure records is unusually high,,identity,identity,medium,negative,TRUE,FALSE,R210,,
socure,reason_code,R211,SSN seen in frozen credit files,,identity,identity,medium,negative,TRUE,FALSE,R211,,
socure,reason_code,R212,Input last name is not associated with the National ID,,identity,identity,medium,negative,TRUE,FALSE,R212,,
socure,reason_code,R213,Name does not correlate with the name for the resolved individual,,identity,identity,medium,negative,TRUE,FALSE,R213,,
socure,reason_code,R215,First name is not associated with the National ID,,identity,identity,medium,negative,TRUE,FALSE,R215,,
socure,reason_code,R217,SSN was randomly-issued by the SSA,,identity,identity,medium,negative,TRUE,FALSE,R217,,
socure,reason_code,R218,Input National ID is not the primary National ID for the resolved identity,,identity,identity,medium,negative,TRUE,FALSE,R218,,
socure,reason_code,R220,Issue date for the provided SSN could not be resolved,,identity,identity,medium,negative,TRUE,FALSE,R220,,
socure,reason_code,R222,Input SSN could not be confirmed,,identity,identity,medium,negative,TRUE,FALSE,R222,,
socure,reason_code,R227,National ID is found to be inquired at an unusually high frequency (more than once a month),,identity,identity,medium,negative,TRUE,FALSE,R227,,
socure,reason_code,R230,National ID was first seen in credit header records within the last 1 year,,identity,identity,medium,negative,TRUE,FALSE,R230,,
socure,reason_code,R231,National ID was first seen in credit header records between 1 to 3 years ago,,identity,identity,medium,negative,TRUE,FALSE,R231,,
socure,reason_code,R232,National ID was first seen in credit header records between 3 to 5 years ago,,identity,identity,medium,negative,TRUE,FALSE,R232,,
socure,reason_code,R233,No National ID found in credit header records for the given full name and DOB,,identity,identity,medium,negative,TRUE,FALSE,R233,,
socure,reason_code,R234,National IDs in credit header data associated with full name and DOB differ from input National ID by 1 digit,,identity,identity,medium,negative,TRUE,FALSE,R234,,
socure,reason_code,R238,National IDs in credit header data associated with full name and DOB differ from input National ID by up to 2 digits,,identity,identity,medium,negative,TRUE,FALSE,R238,,
socure,reason_code,R239,National IDs in credit header data associated with full name and DOB differ from input National ID by up to 3 digits,,identity,identity,medium,negative,TRUE,FALSE,R239,,
socure,reason_code,R240,Input SSN was issued more than 2 years after the resolved birth year,,identity,identity,medium,negative,TRUE,FALSE,R240,,
socure,reason_code,R241,Input National ID seems to have a 2-digit error,,identity,identity,medium,negative,TRUE,FALSE,R241,,
socure,reason_code,R242,Input National ID seems to be off by more than 2 digits from the individuals National ID,,identity,identity,medium,negative,TRUE,FALSE,R242,,
socure,reason_code,R308,Account is not correlated with the EIN,,identity,identity,medium,negative,TRUE,FALSE,R308,,
socure,reason_code,R308,Account is not correlated with the EIN,,identity,identity,medium,negative,TRUE,FALSE,R308,,
socure,reason_code,R309,Provided routing number is invalid,,identity,identity,medium,negative,TRUE,FALSE,R309,,
socure,reason_code,R309,Provided routing number is invalid,,identity,identity,medium,negative,TRUE,FALSE,R309,,
socure,reason_code,R310,Provided account number is invalid,,identity,identity,medium,negative,TRUE,FALSE,R310,,
socure,reason_code,R310,Provided account number is invalid,,identity,identity,medium,negative,TRUE,FALSE,R310,,
socure,reason_code,R311,Account warning,,identity,identity,medium,negative,TRUE,FALSE,R311,,
socure,reason_code,R312,Account information is not available,,identity,identity,medium,negative,TRUE,FALSE,R312,,
socure,reason_code,R313,Account structure issue,,identity,identity,medium,negative,TRUE,FALSE,R313,,
socure,reason_code,R315,Elevated account return risk,,identity,identity,medium,negative,TRUE,FALSE,R315,,
socure,reason_code,R316,Primary Failure Indicator,,identity,identity,medium,negative,TRUE,FALSE,R316,,
socure,reason_code,R317,Account Closed Indicator,,identity,identity,medium,negative,TRUE,FALSE,R317,,
socure,reason_code,R318,Account Blocked Indicator,,identity,identity,medium,negative,TRUE,FALSE,R318,,
socure,reason_code,R319,Invalid Account Number Indicator,,identity,identity,medium,negative,TRUE,FALSE,R319,,
socure,reason_code,R350,DOB indicates individual is less than 16 or more than 100 years old,,identity,identity,medium,negative,TRUE,FALSE,R350,,
socure,reason_code,R351,DOB indicates COPPA review,,identity,identity,medium,negative,TRUE,FALSE,R351,,
socure,reason_code,R352,DOB indicates an age between 13 and 15,,identity,identity,medium,negative,TRUE,FALSE,R352,,
socure,reason_code,R353,DOB indicates an age between 16 and 17,,identity,identity,medium,negative,TRUE,FALSE,R353,,
socure,reason_code,R355,(Deprecated) - DOB indicates an improbable age,,identity,identity,medium,negative,TRUE,FALSE,R355,,
socure,reason_code,R380,(Deprecated) - Document forged,,identity,identity,medium,negative,TRUE,FALSE,R380,,
socure,reason_code,R381,(Deprecated) - Document verification inconclusive,,identity,identity,medium,negative,TRUE,FALSE,R381,,
socure,reason_code,R382,(Deprecated) - Document image quality bad,,identity,identity,medium,negative,TRUE,FALSE,R382,,
